openalex_id,level,parent_3,parent_2,parent_1,display_name,journals_count
C2778755073,2,,Geography,Cartography,Scale (ratio),7
C88610354,2,,Political science,Law,Teaching method,7
C518677369,2,,Political science,Law,Social media,7
C129400051,2,,Philosophy,Linguistics,Romanian,7
C2777077863,2,,Biology,Immunology,Arthritis,7
C2778408831,2,,Philosophy,Linguistics,Serbian,7
C202271784,2,,Medicine,Dentistry,Molar,7
C179454799,2,,Sociology,Anthropology,Ethnography,7
C2781054738,2,,Medicine,Physical therapy,Athletes,7
C196843134,2,,Biology,Cell biology,Embryo,7
C2780623531,2,,Philosophy,Linguistics,Irish,7
C168563851,2,,Medicine,Internal medicine,Randomized controlled trial,7
C2778063415,2,,Medicine,Internal medicine,Hemodialysis,7
C44575665,2,,Biology,Anatomy,Lumbar,7
C132651083,2,,Biology,Ecology,Climate change,7
C2780645631,2,,Engineering,Aerospace engineering,Stroke (engine),7
C2780876879,2,,Philosophy,Epistemology,Meaning (existential),7
C16443162,2,,Political science,Law,Educational technology,7
C84393581,2,,Biology,Endocrinology,Blood pressure,7
C526584372,2,,Biology,Endocrinology,Thyroid,7
C555944384,2,,Computer science,Operating system,Wireless,7
C2780724011,2,,Medicine,Nursing,Emergency department,7
C145148216,2,,Chemistry,Organic chemistry,Ion,7
C202565627,2,,Psychology,Criminology,Criminal law,7
C161487207,2,,Art,Humanities,Derecho,7
C60671577,2,,Geography,Archaeology,Cultural heritage,6
C100544194,2,,Biology,Biochemistry,Fermentation,6
C2781411149,2,,Medicine,Surgery,Implant,6
C104863432,2,,Medicine,Family medicine,Pharmacy,6
C2778061430,2,,Economics,Economic growth,Scholarship,6
C154775046,2,,Geography,Archaeology,German,6
C22508944,2,,Biology,Botany,PEST analysis,6
C94061648,2,,Engineering,Environmental engineering,Wastewater,6
C143753070,2,,Physics,Acoustics,Ultrasound,6
C2778348673,2,,Economics,Macroeconomics,Production (economics),6
C668760,2,,Economics,Economic growth,Vocational education,6
C78045399,2,,Mathematics,Mathematical analysis,Differential equation,6
C2778336525,2,,Medicine,Radiology,Arthroplasty,6
C2780035454,2,,Biology,Pharmacology,Drug,6
C139621336,2,,Political science,Law,Economic Justice,6
C26760741,2,,Philosophy,Epistemology,Perception,6
C55952523,2,,Biology,Food science,Wine,6
C28328180,2,,Biology,Cell biology,Stem cell,6
C114010052,2,,Philosophy,Linguistics,Foreign language,6
C182306322,2,,Business,Finance,Order (exchange),6
C2776882836,2,,Biology,Neuroscience,Cornea,6
C18762648,2,,Engineering,Mechanical engineering,Work (physics),6
C205783811,2,,Art,Art history,Painting,6
C150152722,2,,Geography,Archaeology,Judaism,6
C527412718,2,,Philosophy,Linguistics,Interpretation (philosophy),6
C70789860,2,,Political science,Law,The arts,6
C521977710,2,,Materials science,Composite material,Polymer,5
C130217890,2,,Biology,Ecology,Biodiversity,5
C84114770,2,,Physics,Quantum mechanics,Quantum,5
C140505726,2,,Geography,Archaeology,Forensic science,5
C147446459,2,,Art,Literature,Dance,5
C187288502,2,,Psychology,Psychoanalysis,Personality,5
C66204764,2,,Biology,Ecology,Sustainability,5
C125471540,2,,Biology,Botany,Fauna,5
C158886217,2,,Political science,Law,Latin Americans,5
C55447825,2,,Political science,Law,International law,5
C150846664,2,,Physics,Astronomy,Stars,5
C91602232,2,,Economics,Econometrics,Volatility (finance),5
C39389867,2,,Business,Finance,Corporate governance,5
C74448152,2,,Engineering,Aerospace engineering,Aviation,5
C36454342,2,,Physics,Nuclear physics,Radiography,5
C182310444,2,,Mathematics,Mathematical analysis,Boundary value problem,5
C196558001,2,,Physics,Mechanics,Turbulence,5
C134121241,2,,Materials science,Composite material,Yield (engineering),5
C159641895,2,,Biology,Biochemistry,Renal function,5
C137403100,2,,Sociology,Anthropology,Ethnic group,5
C3017944768,2,,Medicine,Emergency medicine,Poison control,5
C142796444,2,,Biology,Ecology,Nutrient,5
C529618451,2,,Medicine,Radiology,Ultrasonography,5
C107054158,2,,Geography,Meteorology,Precipitation,5
C116675565,2,,Medicine,Pathology,Outbreak,5
C2776092919,2,,Philosophy,Linguistics,Estonian,5
C2778186239,2,,Biology,Neuroscience,Epilepsy,5
C2779978075,2,,Medicine,Internal medicine,Dialysis,5
C4646841,2,,Geography,Archaeology,Mediterranean climate,5
C82706917,2,,Physics,Nuclear physics,Plasma,5
C50517652,2,,Physics,Mechanics,Heat transfer,5
C2781069245,2,,Medicine,Pathology,Tuberculosis,5
C155672457,2,,Engineering,Chemical engineering,Nanoparticle,5
C127162648,2,,Computer science,Computer network,Channel (broadcasting),5
C2780775167,2,,Biology,Neuroscience,Spinal cord,5
C2781210498,2,,Biology,Pharmacology,Insomnia,4
C168834538,2,,Engineering,Civil engineering,Beam (structure),4
C203133693,2,,Geography,Archaeology,Terrorism,4
C313442,2,,Art,Humanities,Persona,4
C102190203,2,,Medicine,Physical therapy,Occupational therapy,4
C2780109367,2,,Medicine,Dentistry,Malocclusion,4
C167310744,2,,Materials science,Composite material,Tribology,4
C188382862,2,,Biology,Ecology,Predation,4
C112950240,2,,Materials science,Composite material,Ultimate tensile strength,4
C45962547,2,,Mathematics,Discrete mathematics,Fixed-point theorem,4
C188573790,2,,Biology,Ecology,Renewable energy,4
C204232928,2,,Biology,Immunology,Immunohistochemistry,4
C104562893,2,,History,Ancient history,Byzantine architecture,4
C144938864,2,,Biology,Agronomy,Randomized block design,4
C2778805511,2,,Political science,Law,Citation,4
C61445026,2,,Mathematics,Mathematical analysis,Fixed point,4
C119883117,2,,Computer science,Library science,Information literacy,4
C2780665704,2,,Medicine,Nursing,Intervention (counseling),4
C518008717,2,,Biology,Ecology,Arctic,4
C554936623,2,,Political science,Law,Reading (process),4
C44877443,2,,Political science,Law,Science education,4
C120806208,2,,Geology,Geochemistry,Volcano,4
C15952604,2,,Economics,Management,Project management,4
C21822782,2,,Engineering,Electrical engineering,Antenna (radio),4
C523993062,2,,Geography,Archaeology,Cement,4
C4792198,2,,Engineering,Civil engineering,Land use,4
C133462117,2,,Sociology,Social science,Data collection,4
C115260700,2,,Physics,Quantum mechanics,Magnetic field,4
C6494504,2,,Geology,Geochemistry,Sedimentary rock,4
C188084074,2,,Biology,Genetics,Bioethics,4
C147120987,2,,Physics,Nuclear physics,Electron,4
C2776035437,2,,Medicine,Radiology,Embolization,4
C2776098176,2,,Medicine,Radiology,Aneurysm,4
